,Hotel Sheraton Surabaya,Alun-Alun Surabaya,Jalan Tunjungan,Hotel Majapahit,Gedung Negara Grahadi,Monumen Bambu Runcing,Taman Apsari,Monumen Kapal Selam,Plaza Surabaya,Taman Prestasi,Gedung Siola,Pasar Blauran,Jalan Basuki Rahmat,Monumen Tugu Pahlawan,Jalan Kedungdoro,Taman Ekspresi,Jalan Raya Darmo Permai,Graha Famili Timur,Spazio Jalan Yono Soewoyo,Plaza Segi Delapan,Jalan HR Muhammad,Taman Pradah Kalikendal,Kawasan Sukomanunggal,Jalan Raya Kupang Indah,Taman Makam Pahlawan Mayjen Sungkono,Ciputra World Surabaya,Kampus B Unair,Jalan Dharmahusada,Taman Mojo,Jalan Manyar Kertoarjo,Kampus A Unair Kedokteran,Jalan Kertajaya Indah,Taman Flora Bratang,Taman Kebun Bibit Bratang,Jalan Karang Menur,Kawasan Menur Pumpungan,Jembatan Merah Surabaya,Kya-Kya Kembang Jepun,House of Sampoerna,Stasiun Surabaya Kota (Semut),Kawasan Ampel Suci,Taman Jayengrono,Jalan Rajawali,Gedung Cerutu,Jalan Kembang Jepun Timur,Kawasan Kapasan,Taman Bungkul,Jalan Raya Darmo (CFD),Kebun Binatang Surabaya,Patung Suro dan Boyo,Kawasan Kampus Ketintang Unesa
Pasar Blauran,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.3,0.0,2.4,2.4,2.3,2.3,2.3,2.3,2.3,2.4,2.4,2.3,2.4,2.4,2.3,2.4,2.4,1.9,1.9,2.3,2.4,1.9,2.15,2.15,2.4,1.9,2.3,2.3,2.3,2.3,2.15,2.4,2.3,2.4,1.9,2.3,2.525,1.9,2.4,2.4,2.3
Jalan Basuki Rahmat,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.4,2.4,0.0,2.5,2.5,2.4,2.4,2.5,2.5,2.5,2.5,2.4,2.5,2.5,2.5,2.5,2.5,2.0,2.0,2.5,2.5,2.0,2.25,2.25,2.5,2.0,2.4,2.4,2.4,2.4,2.25,2.5,2.4,2.5,2.0,2.4,2.625,2.0,2.5,2.5,2.5
Monumen Tugu Pahlawan,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.4,2.4,2.5,0.0,2.5,2.4,2.4,2.5,2.5,2.5,2.5,2.4,2.5,2.5,2.5,2.5,2.5,2.0,2.0,2.5,2.5,2.0,2.25,2.25,2.5,2.0,2.4,2.4,2.4,2.4,2.25,2.5,2.4,2.5,2.0,2.4,2.625,2.0,2.5,2.5,2.5
Jalan Kedungdoro,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.3,2.3,2.5,2.5,0.0,2.3,2.3,4.0,4.0,2.5,2.5,2.3,2.5,2.5,4.0,2.5,2.5,1.5,1.5,4.0,2.5,1.5,2.0,2.0,2.5,1.5,2.3,2.3,2.3,2.3,2.0,2.5,2.3,2.5,1.5,2.3,2.75,1.5,2.5,2.5,4.0
Taman Ekspresi,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.3,2.3,2.4,2.4,2.3,0.0,2.3,2.3,2.3,2.4,2.4,2.3,2.4,2.4,2.3,2.4,2.4,1.9,1.9,2.3,2.4,1.9,2.15,2.15,2.4,1.9,2.3,2.3,2.3,2.3,2.15,2.4,2.3,2.4,1.9,2.3,2.525,1.9,2.4,2.4,2.3
Jalan Raya Darmo Permai,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.3,2.3,2.4,2.4,2.3,2.3,0.0,2.3,2.3,2.4,2.4,2.3,2.4,2.4,2.3,2.4,2.4,1.9,1.9,2.3,2.4,1.9,2.15,2.15,2.4,1.9,2.3,2.3,2.3,2.3,2.15,2.4,2.3,2.4,1.9,2.3,2.525,1.9,2.4,2.4,2.3
Graha Famili Timur,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.3,2.3,2.5,2.5,4.0,2.3,2.3,0.0,1.5,2.5,2.5,2.3,2.5,2.5,1.5,2.5,2.5,1.5,1.5,4.0,2.5,1.5,2.0,2.0,2.5,1.5,2.3,2.3,2.3,2.3,2.0,2.5,2.3,2.5,1.5,2.3,2.75,1.5,2.5,2.5,4.0
Spazio Jalan Yono Soewoyo,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.3,2.3,2.5,2.5,4.0,2.3,2.3,1.5,0.0,2.5,2.5,2.3,2.5,2.5,1.5,2.5,2.5,1.5,1.5,4.0,2.5,1.5,2.0,2.0,2.5,1.5,2.3,2.3,2.3,2.3,2.0,2.5,2.3,2.5,1.5,2.3,2.75,1.5,2.5,2.5,4.0
Plaza Segi Delapan,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.4,2.4,2.5,2.5,2.5,2.4,2.4,2.5,2.5,0.0,2.5,2.4,2.5,2.5,2.5,2.5,2.5,2.0,2.0,2.5,2.5,2.0,2.25,2.25,2.5,2.0,2.4,2.4,2.4,2.4,2.25,2.5,2.4,2.5,2.0,2.4,2.625,2.0,2.5,2.5,2.5
Jalan HR Muhammad,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.4,2.4,2.5,2.5,2.5,2.4,2.4,2.5,2.5,2.5,0.0,2.4,2.5,2.5,2.5,2.5,2.5,2.0,2.0,2.5,2.5,2.0,2.25,2.25,2.5,2.0,2.4,2.4,2.4,2.4,2.25,2.5,2.4,2.5,2.0,2.4,2.625,2.0,2.5,2.5,2.5
